Sr. No,Semester,Course Code,Course Title,Credit Hours,Grade,Grade Point,SGPA,CGPA,Warning
140,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
140,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
140,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
140,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
140,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
140,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
140,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
140,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
141,Fall,SS101,English Language,3,D,1,3.27,3.27,0
141,Fall,SL101,English Language Lab,1,C+,2.33,3.27,3.27,0
141,Fall,MT104,Linear Algebra,3,A+,4,3.27,3.27,0
141,Fall,CL118,Programming Fundamentals - Lab,1,B+,3.33,3.27,3.27,0
141,Fall,CS118,Programming Fundamentals,3,A-,3.67,3.27,3.27,0
141,Fall,MT119,Calculus and Analytical Geometry,3,A+,4,3.27,3.27,0
141,Fall,EE182,Basic Electronics,3,A,4,3.27,3.27,0
141,Fall,CS201,Data Structures,3,B,3,2.31,2.9,0
141,Spring,CS217,Computer Programming,3,A-,3.67,3.08,3.18,0
141,Spring,SS122,English Composition,3,D,1,3.08,3.18,0
141,Spring,EL227,Digital Logic Design - Lab,1,A,4,3.08,3.18,0
141,Spring,EE227,Digital Logic Design,3,A+,4,3.08,3.18,0
141,Spring,SS111,Islamic and Religious Studies,3,C+,2.33,3.08,3.18,0
141,Spring,CL217,Computer Programming Lab,1,B+,3.33,3.08,3.18,0
141,Spring,MT224,Differential Equations (Cal II),3,A+,4,3.08,3.18,0
141,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
141,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
141,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
141,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
141,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
141,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
141,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
142,Fall,MT104,Linear Algebra,3,A-,3.67,2.49,2.49,0
142,Fall,CL118,Programming Fundamentals - Lab,1,F,0,2.49,2.49,0
142,Fall,MT119,Calculus and Analytical Geometry,3,B-,2.67,2.49,2.49,0
142,Fall,CS118,Programming Fundamentals,3,F,0,2.49,2.49,0
142,Fall,EE182,Basic Electronics,3,B+,3.33,2.49,2.49,0
142,Fall,SS101,English Language,3,B+,3.33,2.49,2.49,0
142,Fall,SL101,English Language Lab,1,B+,3.33,2.49,2.49,0
142,Spring,MT224,Differential Equations (Cal II),3,A-,3.67,2.08,2.59,0
142,Spring,CS118,Programming Fundamentals,3,D,1,2.08,2.59,0
142,Spring,EL227,Digital Logic Design - Lab,1,C+,2.33,2.08,2.59,0
142,Spring,SS122,English Composition,3,B-,2.67,2.08,2.59,0
142,Spring,SS113,Pakistan Studies,3,D,1,2.08,2.59,0
142,Spring,CL118,Programming Fundamentals - Lab,1,F,0,2.08,2.59,0
142,Spring,EE227,Digital Logic Design,3,B-,2.67,2.08,2.59,0
142,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
142,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
142,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
142,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
142,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
142,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
142,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
142,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
142,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
142,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
143,Fall,SL101,English Language Lab,1,A-,3.67,2.41,2.41,0
143,Fall,MT119,Calculus and Analytical Geometry,3,D+,1.33,2.41,2.41,0
143,Fall,EE182,Basic Electronics,3,C-,1.67,2.41,2.41,0
143,Fall,CL118,Programming Fundamentals - Lab,1,B+,3.33,2.41,2.41,0
143,Fall,MT104,Linear Algebra,3,B-,2.67,2.41,2.41,0
143,Fall,CS118,Programming Fundamentals,3,C+,2.33,2.41,2.41,0
143,Fall,SS101,English Language,3,B+,3.33,2.41,2.41,0
143,Fall,CS201,Data Structures,3,B,3,2.25,2.26,0
143,Spring,SS122,English Composition,3,D+,1.33,2.12,2.27,0
143,Spring,SS113,Pakistan Studies,3,B-,2.67,2.12,2.27,0
143,Spring,MT224,Differential Equations (Cal II),3,B,3,2.12,2.27,0
143,Spring,CS217,Computer Programming,3,C-,1.67,2.12,2.27,0
143,Spring,EE227,Digital Logic Design,3,C-,1.67,2.12,2.27,0
143,Spring,EL227,Digital Logic Design - Lab,1,B+,3.33,2.12,2.27,0
143,Spring,CL217,Computer Programming Lab,1,C-,1.67,2.12,2.27,0
143,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
143,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
143,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
143,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
143,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
143,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
143,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
144,Fall,EE182,Basic Electronics,3,D+,1.33,1.41,1.41,2
144,Fall,SL101,English Language Lab,1,B,3,1.41,1.41,2
144,Fall,MT119,Calculus and Analytical Geometry,3,D,1,1.41,1.41,2
144,Fall,MT104,Linear Algebra,3,D+,1.33,1.41,1.41,2
144,Fall,CL118,Programming Fundamentals - Lab,1,D,1,1.41,1.41,2
144,Fall,CS118,Programming Fundamentals,3,F,0,1.41,1.41,2
144,Fall,SS101,English Language,3,B,3,1.41,1.41,2
144,Spring,MT119,Calculus and Analytical Geometry,3,FA,0,0.96,1.34,2
144,Spring,EE227,Digital Logic Design,3,F,0,0.96,1.34,2
144,Spring,SS122,English Composition,3,C,2,0.96,1.34,2
144,Spring,SS111,Islamic and Religious Studies,3,FA,0,0.96,1.34,2
144,Spring,CL118,Programming Fundamentals - Lab,1,B+,3.33,0.96,1.34,2
144,Spring,EL227,Digital Logic Design - Lab,1,FA,0,0.96,1.34,2
144,Spring,CS118,Programming Fundamentals,3,C+,2.33,0.96,1.34,2
144,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
144,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
144,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
144,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
144,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
144,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
144,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
144,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
144,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
144,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
144,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
145,Fall,EE182,Basic Electronics,3,F,0,1,1,0
145,Fall,MT104,Linear Algebra,3,F,0,1,1,0
145,Fall,CS118,Programming Fundamentals,3,F,0,1,1,0
145,Fall,MT119,Calculus and Analytical Geometry,3,C,2,1,1,0
145,Fall,CL118,Programming Fundamentals - Lab,1,D+,1.33,1,1,0
145,Fall,SS101,English Language,3,B-,2.67,1,1,0
145,Fall,SL101,English Language Lab,1,C-,1.67,1,1,0
145,Spring,CL118,Programming Fundamentals - Lab,1,B-,2.67,2.04,1.86,0
145,Spring,SS122,English Composition,3,D,1,2.04,1.86,0
145,Spring,CS118,Programming Fundamentals,3,C-,1.67,2.04,1.86,0
145,Spring,MT224,Differential Equations (Cal II),3,B+,3.33,2.04,1.86,0
145,Spring,MT104,Linear Algebra,3,B,3,2.04,1.86,0
145,Spring,EL227,Digital Logic Design - Lab,1,D,1,2.04,1.86,0
145,Spring,EE227,Digital Logic Design,3,D+,1.33,2.04,1.86,0
145,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
145,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
145,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
145,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
145,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
145,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
145,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
145,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
145,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
145,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
145,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
146,Fall,CS118,Programming Fundamentals,3,F,0,1.79,1.79,3
146,Fall,MT104,Linear Algebra,3,C,2,1.79,1.79,3
146,Fall,CL118,Programming Fundamentals - Lab,1,F,0,1.79,1.79,3
146,Fall,SL101,English Language Lab,1,C+,2.33,1.79,1.79,3
146,Fall,SS101,English Language,3,B-,2.67,1.79,1.79,3
146,Fall,MT119,Calculus and Analytical Geometry,3,B,3,1.79,1.79,3
146,Fall,EE182,Basic Electronics,3,C-,1.67,1.79,1.79,3
146,Spring,CS118,Programming Fundamentals,3,C-,1.67,1.26,1.72,3
146,Spring,EL227,Digital Logic Design - Lab,1,B-,2.67,1.26,1.72,3
146,Spring,SS122,English Composition,3,D,1,1.26,1.72,3
146,Spring,CL118,Programming Fundamentals - Lab,1,C-,1.67,1.26,1.72,3
146,Spring,EE227,Digital Logic Design,3,C,2,1.26,1.72,3
146,Spring,SS113,Pakistan Studies,3,F,0,1.26,1.72,3
146,Spring,MT224,Differential Equations (Cal II),3,D,1,1.26,1.72,3
146,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
146,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
146,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
146,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
146,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
146,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
146,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
146,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
146,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
146,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
147,Fall,CL118,Programming Fundamentals - Lab,1,F,0,0.43,0.43,1
147,Fall,EE182,Basic Electronics,3,F,0,0.43,0.43,1
147,Fall,SL101,English Language Lab,1,C+,2.33,0.43,0.43,1
147,Fall,MT104,Linear Algebra,3,F,0,0.43,0.43,1
147,Fall,SS101,English Language,3,C-,1.67,0.43,0.43,1
147,Fall,MT119,Calculus and Analytical Geometry,3,F,0,0.43,0.43,1
147,Fall,CS118,Programming Fundamentals,3,F,0,0.43,0.43,1
147,Unknown,SS122,English Composition,3,UK,-1,0,0,0
147,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
147,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
147,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
147,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
147,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
147,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
147,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
147,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
147,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
147,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
147,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
147,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
147,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
147,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
148,Fall,CS118,Programming Fundamentals,3,C-,1.67,2.65,2.65,0
148,Fall,MT104,Linear Algebra,3,C,2,2.65,2.65,0
148,Fall,SS101,English Language,3,A,4,2.65,2.65,0
148,Fall,MT119,Calculus and Analytical Geometry,3,C,2,2.65,2.65,0
148,Fall,SL101,English Language Lab,1,A-,3.67,2.65,2.65,0
148,Fall,EE182,Basic Electronics,3,B+,3.33,2.65,2.65,0
148,Fall,CL118,Programming Fundamentals - Lab,1,C+,2.33,2.65,2.65,0
148,Spring,CL217,Computer Programming Lab,1,D,1,1.9,2.27,0
148,Spring,SS111,Islamic and Religious Studies,3,B,3,1.9,2.27,0
148,Spring,EL227,Digital Logic Design - Lab,1,C+,2.33,1.9,2.27,0
148,Spring,CS217,Computer Programming,3,F,0,1.9,2.27,0
148,Spring,MT224,Differential Equations (Cal II),3,C-,1.67,1.9,2.27,0
148,Spring,EE227,Digital Logic Design,3,D+,1.33,1.9,2.27,0
148,Spring,SS122,English Composition,3,A-,3.67,1.9,2.27,0
148,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
148,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
148,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
148,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
148,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
148,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
148,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
148,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
149,Fall,SS101,English Language,3,D,1,1.24,1.24,0
149,Fall,CL118,Programming Fundamentals - Lab,1,F,0,1.24,1.24,0
149,Fall,MT119,Calculus and Analytical Geometry,3,C+,2.33,1.24,1.24,0
149,Fall,CS118,Programming Fundamentals,3,F,0,1.24,1.24,0
149,Fall,EE182,Basic Electronics,3,C,2,1.24,1.24,0
149,Fall,MT104,Linear Algebra,3,C-,1.67,1.24,1.24,0
149,Fall,SL101,English Language Lab,1,F,0,1.24,1.24,0
149,Spring,EE227,Digital Logic Design,3,C-,1.67,1.83,1.73,0
149,Spring,EL227,Digital Logic Design - Lab,1,D+,1.33,1.83,1.73,0
149,Spring,MT224,Differential Equations (Cal II),3,C+,2.33,1.83,1.73,0
149,Spring,CS118,Programming Fundamentals,3,C,2,1.83,1.73,0
149,Spring,SS113,Pakistan Studies,3,C-,1.67,1.83,1.73,0
149,Spring,CL118,Programming Fundamentals - Lab,1,D+,1.33,1.83,1.73,0
149,Unknown,SS122,English Composition,3,UK,-1,0,0,0
149,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
149,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
149,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
149,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
149,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
149,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
149,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
149,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
149,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
149,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
150,Fall,CL118,Programming Fundamentals - Lab,1,B-,2.67,3.1,3.1,0
150,Fall,MT104,Linear Algebra,3,B,3,3.1,3.1,0
150,Fall,SS101,English Language,3,A,4,3.1,3.1,0
150,Fall,MT119,Calculus and Analytical Geometry,3,B,3,3.1,3.1,0
150,Fall,CS118,Programming Fundamentals,3,C+,2.33,3.1,3.1,0
150,Fall,SL101,English Language Lab,1,A,4,3.1,3.1,0
150,Fall,EE182,Basic Electronics,3,B,3,3.1,3.1,0
150,Fall,CS201,Data Structures,3,C+,2.33,2.86,3.09,0
150,Spring,SS111,Islamic and Religious Studies,3,B,3,3.29,3.2,0
150,Spring,MT224,Differential Equations (Cal II),3,B+,3.33,3.29,3.2,0
150,Spring,EE227,Digital Logic Design,3,A-,3.67,3.29,3.2,0
150,Spring,SS122,English Composition,3,A,4,3.29,3.2,0
150,Spring,CL217,Computer Programming Lab,1,B-,2.67,3.29,3.2,0
150,Spring,CS217,Computer Programming,3,B-,2.67,3.29,3.2,0
150,Spring,EL227,Digital Logic Design - Lab,1,B+,3.33,3.29,3.2,0
150,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
150,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
150,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
150,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
150,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
150,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
150,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
151,Fall,MT119,Calculus and Analytical Geometry,3,L2,0,0,0,1
151,Fall,EE182,Basic Electronics,3,L2,0,0,0,1
151,Fall,SL101,English Language Lab,1,L2,0,0,0,1
151,Fall,CS118,Programming Fundamentals,3,L2,0,0,0,1
151,Fall,CL118,Programming Fundamentals - Lab,1,L2,0,0,0,1
151,Fall,SS101,English Language,3,L2,0,0,0,1
151,Fall,MT104,Linear Algebra,3,L2,0,0,0,1
151,Unknown,SS122,English Composition,3,UK,-1,0,0,0
151,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
151,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
151,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
151,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
151,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
151,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
151,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
151,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
151,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
151,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
151,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
151,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
151,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
151,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
152,Fall,EE182,Basic Electronics,3,A-,3.67,3.12,3.12,0
152,Fall,SL101,English Language Lab,1,F,0,3.12,3.12,0
152,Fall,MT104,Linear Algebra,3,B+,3.33,3.12,3.12,0
152,Fall,SS101,English Language,3,B,3,3.12,3.12,0
152,Fall,CS118,Programming Fundamentals,3,B-,2.67,3.12,3.12,0
152,Fall,MT119,Calculus and Analytical Geometry,3,A-,3.67,3.12,3.12,0
152,Fall,CL118,Programming Fundamentals - Lab,1,A,4,3.12,3.12,0
152,Fall,CS201,Data Structures,3,B,3,3.28,3.21,0
152,Spring,CL217,Computer Programming Lab,1,A-,3.67,3,3.06,0
152,Spring,SS111,Islamic and Religious Studies,3,B+,3.33,3,3.06,0
152,Spring,MT224,Differential Equations (Cal II),3,B,3,3,3.06,0
152,Spring,EE227,Digital Logic Design,3,B,3,3,3.06,0
152,Spring,CS217,Computer Programming,3,C+,2.33,3,3.06,0
152,Spring,EL227,Digital Logic Design - Lab,1,B+,3.33,3,3.06,0
152,Unknown,SS122,English Composition,3,UK,-1,0,0,0
152,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
152,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
152,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
152,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
152,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
152,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
152,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
153,Fall,EE182,Basic Electronics,3,F,0,0.96,0.96,0
153,Fall,SS101,English Language,3,B+,3.33,0.96,0.96,0
153,Fall,MT104,Linear Algebra,3,F,0,0.96,0.96,0
153,Fall,CL118,Programming Fundamentals - Lab,1,F,0,0.96,0.96,0
153,Fall,SL101,English Language Lab,1,B+,3.33,0.96,0.96,0
153,Fall,CS118,Programming Fundamentals,3,F,0,0.96,0.96,0
153,Fall,MT119,Calculus and Analytical Geometry,3,D,1,0.96,0.96,0
153,Spring,EE182,Basic Electronics,3,C-,1.67,1.81,2.12,0
153,Spring,CL118,Programming Fundamentals - Lab,1,C,2,1.81,2.12,0
153,Spring,MT119,Calculus and Analytical Geometry,3,D,1,1.81,2.12,0
153,Spring,MT104,Linear Algebra,3,C,2,1.81,2.12,0
153,Spring,CS118,Programming Fundamentals,3,D+,1.33,1.81,2.12,0
153,Spring,SS122,English Composition,3,B,3,1.81,2.12,0
153,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
153,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
153,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
153,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
153,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
153,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
153,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
153,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
153,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
153,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
153,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
153,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
153,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
153,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
154,Fall,MT119,Calculus and Analytical Geometry,3,D,1,0.92,0.92,1
154,Fall,SS101,English Language,3,D,1,0.92,0.92,1
154,Fall,SL101,English Language Lab,1,B-,2.67,0.92,0.92,1
154,Fall,EE182,Basic Electronics,3,D,1,0.92,0.92,1
154,Fall,MT104,Linear Algebra,3,D+,1.33,0.92,0.92,1
154,Fall,CS118,Programming Fundamentals,3,F,0,0.92,0.92,1
154,Fall,CL118,Programming Fundamentals - Lab,1,F,0,0.92,0.92,1
154,Unknown,SS122,English Composition,3,UK,-1,0,0,0
154,Unknown,CS201,Data Structures,3,UK,-1,0,0,0
154,Unknown,EE227,Digital Logic Design,3,UK,-1,0,0,0
154,Unknown,MT224,Differential Equations (Cal II),3,UK,-1,0,0,0
154,Unknown,SS111,Islamic and Religious Studies,3,UK,-1,0,0,0
154,Unknown,CS217,Computer Programming,3,UK,-1,0,0,0
154,Unknown,EL227,Digital Logic Design - Lab,1,UK,-1,0,0,0
154,Unknown,CL217,Computer Programming Lab,1,UK,-1,0,0,0
154,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
154,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
154,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
154,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
154,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
154,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
154,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
155,Fall,CS118,Programming Fundamentals,3,D+,1.33,1.98,1.98,0
155,Fall,MT104,Linear Algebra,3,C,2,1.98,1.98,0
155,Fall,CL118,Programming Fundamentals - Lab,1,C+,2.33,1.98,1.98,0
155,Fall,MT119,Calculus and Analytical Geometry,3,C-,1.67,1.98,1.98,0
155,Fall,SL101,English Language Lab,1,D+,1.33,1.98,1.98,0
155,Fall,SS101,English Language,3,B,3,1.98,1.98,0
155,Fall,EE182,Basic Electronics,3,C,2,1.98,1.98,0
155,Fall,CS201,Data Structures,3,F,0,1.31,1.78,0
155,Spring,EL227,Digital Logic Design - Lab,1,C+,2.33,2.02,2,0
155,Spring,CS217,Computer Programming,3,D,1,2.02,2,0
155,Spring,EE227,Digital Logic Design,3,C,2,2.02,2,0
155,Spring,CL217,Computer Programming Lab,1,D,1,2.02,2,0
155,Spring,SS122,English Composition,3,B-,2.67,2.02,2,0
155,Spring,MT224,Differential Equations (Cal II),3,C-,1.67,2.02,2,0
155,Spring,SS111,Islamic and Religious Studies,3,B,3,2.02,2,0
155,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
155,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
155,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
155,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
155,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
155,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
155,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
156,Fall,SS101,English Language,3,A-,3.67,3.55,3.55,0
156,Fall,CL118,Programming Fundamentals - Lab,1,B+,3.33,3.55,3.55,0
156,Fall,MT119,Calculus and Analytical Geometry,3,A,4,3.55,3.55,0
156,Fall,CS118,Programming Fundamentals,3,B-,2.67,3.55,3.55,0
156,Fall,MT104,Linear Algebra,3,B+,3.33,3.55,3.55,0
156,Fall,EE182,Basic Electronics,3,A,4,3.55,3.55,0
156,Fall,SL101,English Language Lab,1,A+,4,3.55,3.55,0
156,Fall,CS201,Data Structures,3,B-,2.67,2.29,2.86,0
156,Spring,SS122,English Composition,3,A-,3.67,2.71,3.13,0
156,Spring,EE227,Digital Logic Design,3,B,3,2.71,3.13,0
156,Spring,CS217,Computer Programming,3,C+,2.33,2.71,3.13,0
156,Spring,MT224,Differential Equations (Cal II),3,C-,1.67,2.71,3.13,0
156,Spring,SS111,Islamic and Religious Studies,3,B,3,2.71,3.13,0
156,Spring,EL227,Digital Logic Design - Lab,1,C+,2.33,2.71,3.13,0
156,Spring,CL217,Computer Programming Lab,1,B-,2.67,2.71,3.13,0
156,Unknown,SS113,Pakistan Studies,3,UK,-1,0,0,0
156,Unknown,SL150,English Composition and Comprehension - Lab,1,UK,-1,0,0,0
156,Unknown,CL117,Intro to Info. and Comm. Technologies,1,UK,-1,0,0,0
156,Unknown,SS150,English Composition and Comprehension,2,UK,-1,0,0,0
156,Unknown,EE117,Applied Physics,3,UK,-1,0,0,0
156,Unknown,SS152,Communication & Presentation Skills,2,UK,-1,0,0,0
156,Unknown,SL152,Communication & Presentation Skills - Lab,1,UK,-1,0,0,0
157,Fall,MT104,Linear Algebra,3,L1,0,0,0,1
157,Fall,CS118,Programming Fundamentals,3,L1,0,0,0,1
157,Fall,SS101,English Language,3,L1,0,0,0,1
157,Fall,EE182,Basic Electronics,3,L1,0,0,0,1
157,Fall,CL118,Programming Fundamentals - Lab,1,L1,0,0,0,1
